aiohttp,107154,8.75,8.95,9.69,8.96,0,0,0
blacksheep,258232,4.24,4.56,4.82,3.79,0,0,0
baize,192213,5.76,6.08,6.36,4.96,0,0,0
starlette,190206,5.92,6.34,6.61,5.01,0,0,0
django,17992,51.36,58.04,61.55,53.48,0,0,0
fastapi,125139,9.08,9.69,10.10,7.66,0,0,0
tornado,50075,19.14,19.20,19.34,19.17,0,0,0
aiohttp,105186,9.01,9.14,9.73,9.13,0,0,0
blacksheep,254988,4.21,4.66,5.02,3.74,0,0,0
baize,197345,5.63,6.09,6.39,4.83,0,0,0
starlette,190725,5.45,6.36,6.81,5.00,0,0,0
django,15206,59.51,64.81,80.42,63.29,0,0,0
fastapi,123617,6.51,10.12,10.78,7.83,0,0,0
tornado,49175,19.44,19.73,20.14,19.53,0,0,0
aiohttp,95431,10.10,10.33,10.53,10.06,0,0,0
blacksheep,226418,4.57,5.20,5.57,4.26,0,0,0
baize,176403,6.00,6.88,7.31,5.40,0,0,0
starlette,162011,6.47,7.54,8.02,5.89,0,0,0
django,13460,68.62,74.41,85.63,71.40,0,0,0
fastapi,105052,9.32,11.78,12.49,9.42,0,0,0
tornado,44443,21.53,22.27,22.98,21.61,0,0,0
